case,phi1_deg,response_density_log,response_phi2_deg,response_distance_kpc,response_pm1_masyr,response_pm2_masyr,response_rv_kms,response_phi2_width_deg,response_distance_width_kpc,response_pm1_width_masyr,response_pm2_width_masyr,response_rv_width_kms,sigma_phi2_deg,sigma_distance_kpc,sigma_pm1_masyr,sigma_pm2_masyr,sigma_rv_kms,z_phi2,z_distance,z_pm1,z_pm2,z_rv,n_control,n_perturbed,n_control_phi2,n_perturbed_phi2
G1,-59.0,0.10417388993723685,-0.05534133753832937,-0.020499490412691834,-0.049674560345053465,-0.006267061440874411,0.07478834048055205,-0.008357693890163886,0.0020822985868575797,0.005286646681673501,0.00038556389627177057,0.14040307250567796,0.00823367572724749,0.0012613696416573998,0.0031537984725099008,0.0009391714165419655,0.15762673112523487,-6.721340428211146,-16.251770881179727,-15.75070847996218,-6.6729686726942425,0.47446483186365457,2614,2901,2614,2901
G1,-57.0,0.09256835011749374,-0.04624010712473914,-0.02212808917648701,-0.04942002280019864,-0.007949814064075689,0.002764587877095437,0.002658243914454017,0.00016145914320907923,0.0015980786340661218,0.0004939012661863765,-0.15141465002850207,0.008705299670402811,0.001443874935967391,0.004072586134635267,0.0008619639408171862,0.1537971441593193,-5.311719168261501,-15.325488811578595,-12.134801123027593,-9.222907928768871,0.017975547544833374,3619,3970,3619,3970
G1,-55.0,0.04958642900574175,-0.0529155222043704,-0.021016115682655823,-0.049281675162411887,-0.008090464749767712,-0.06636519616331782,-0.006353903374250541,-0.000654940852827697,-0.0003544093309159613,-0.00046463416621430123,-0.1231721385193163,0.006151708672598006,0.0012642803156831192,0.0030761181998924304,0.0006121480373629156,0.1191887692227889,-8.601760099608713,-16.622987340667674,-16.020735212364478,-13.21651668544227,-0.5568074626164424,4603,4837,4603,4837
G1,-53.0,0.04856488313038425,-0.0423641104889661,-0.01840971999645369,-0.041343490498027435,-0.007456737854710127,-0.1503171728548125,0.0022693385331885585,-0.001532661396899719,-0.004062405648690509,2.2533433507301165e-05,-0.13218199565873867,0.006110929070273617,0.0009763116467333551,0.002534209446746039,0.0006601682943161818,0.11597885294863512,-6.932515498346186,-18.85639698968136,-16.31415688672184,-11.295207478017398,-1.29607397411824,5285,5548,5285,5548
G1,-51.0,-0.0011757790890119504,-0.049102042701767656,-0.018013616968240775,-0.039223690547549594,-0.007387606720387296,0.0018434354739653713,0.0004117467373782602,-0.00032655760436867826,-6.83958152369879e-05,-0.00041871833304073236,-0.257447084163835,0.005967905702888927,0.0009878679227977873,0.002055110500036444,0.0006865109570769984,0.11710845004581377,-8.227684073157938,-18.234843497320533,-19.085927762450744,-10.761090765167074,0.015741267801291918,5957,5950,5957,5950
G1,-49.0,0.029624562222449573,-0.047255872267897736,-0.019882692382812373,-0.04304036202977812,-0.008869103308138726,-0.03819648211086246,0.0018036543264937088,0.0020907997025872913,0.005527942245436249,0.0008138668086883488,-0.15053289479123677,0.0051014278882785995,0.0010088573635410503,0.0021442651228653076,0.0006026554861319587,0.12431236242455046,-9.263263796490422,-19.708130307960378,-20.072313619625902,-14.716705501286565,-0.307262136813185,6053,6235,6053,6235
G1,-47.0,0.026696246466176642,-0.062307753684593015,-0.022145653726093784,-0.04946322767628075,-0.008747680914197975,-0.040176904469230834,0.007420517726028419,-0.001801647362234579,-0.002314570495004359,-0.0012189836542321891,0.06028124108908006,0.005690077478813559,0.0009458905803385087,0.0019489245033358928,0.0005636503743474576,0.10533649421083059,-10.95024697231097,-23.41248997126967,-25.379755650676366,-15.519693257234563,-0.3814148626288712,6579,6757,6579,6757
G1,-45.0,0.002179758183416633,-0.06522107511214756,-0.019640747081958843,-0.04349262459160563,-0.008983556467609066,-0.04515255200411339,0.008532577210833059,-0.0011546537306852886,-0.004164149462611219,0.00012858088153121575,0.090835516520956,0.0062643801369494274,0.0009052686335721738,0.0019367533888234362,0.00048122667611583846,0.12160585064630042,-10.411417201113268,-21.69604286901757,-22.456459786047976,-18.66803507261636,-0.3713024641835936,6874,6889,6874,6889
G1,-43.0,-0.04899510320078767,-0.061615210630417555,-0.02112788867270865,-0.047669000926154226,-0.010025159019660279,0.023715377151014683,0.004678441899075181,0.0019095650220972912,0.0055133285212109195,9.32381458899692e-05,-0.08300345738465786,0.0061162972586947025,0.000849444513165992,0.0022570177382995973,0.000555670535799985,0.11613468020196258,-10.073939840452923,-24.872594201547333,-21.120348377087776,-18.041552275625534,0.20420581612463004,6588,6273,6588,6273
G1,-41.0,-0.06861896981873306,-0.08146997242596718,-0.027471934669971,-0.05990970731588163,-0.014449497774789766,-0.4994990854977335,0.0024213800040198685,0.0011622860031669513,0.0032420900932180613,0.0002732337271665365,0.37833453153894325,0.007068964844999178,0.001301353261677485,0.002793575451193144,0.0007099657413987781,0.13209087107578726,-11.525021585529847,-21.110282256916786,-21.44553041883799,-20.35238735086188,-3.7814807445031184,5157,4815,5157,4815
